فارسی,english
سروفلو اسپري اينهالر 125 ميکروگرم,SALMETROL+FLUTICASON 25/125MIC EVOHALER seroflo
اسپري سرد200م,اسپري سرد200م
پيک400م اسپري سرد,پيک400م اسپري سرد
بودکورت 200پاف بودزونايد اسپري دهاني,BUDECORT (BUDESONIDE 200 MCG SPRAY
فلوتيکازون(فلوتيکومکس) اسپري بيني 0/05 درصد,FLUTICASON 50M 120DOS NASAL SPRAY
سالمفلو250/25 م اسپري,SALMEFLO 250 MCG INHALER
آترونت آلماني 20م 200دوز اسپري,ATROVENT N 20 MCG SPRAY
سروتايد ديسک 500 ميکروگرم,SERETIDE DISKUS (SALMETEROL+FLUTICASONE) 50/500
فلوتيکازون( فلوميست)اسپري بيني,APO-FLUTICASON 50MCG 120DOSE NASAL SPRAY
کلداماريس اسپري,COLDAMARIS SPRAY
آتروآلدواسپري(آترونت 20م 200دوز اسپانيايي دهاني,ATROALDO 20 MCG SPRAY
فلوتيکورت پلاس اسپري استنشاقي 250 ميکروگرم,FLUTICORT PLUS 250 SPRAY
ويگا 50000 اسپري,ويگا 50000 اسپري
دستگاه کپسول استنشاقي ريوولايزر,دستگاه کپسول استنشاقي ريوولايزر
اسپري اکسي متازولين 20 ميل(کونژستاپ ),اسپري اکسي متازولين 20 ميل(کونژستاپ )
اسونور اسپري بيني(رفع خر و پف ),اسونور اسپري بيني(رفع خر و پف )
تيکسوزين اسپري زينک اکسيد(ضد سوختگي),تيکسوزين اسپري زينک اکسيد(ضد سوختگي)
اسپري وارتنر (زگيل و ميخچه),اسپري وارتنر (زگيل و ميخچه)
فيتوم شامپو ژل ضدشوره,فيتوم شامپو ژل ضدشوره
زنهال اسپري مومتازون100 +فورموتيرول (120 دوز,زنهال اسپري مومتازون100 +فورموتيرول (120 دوز
کلداماريس فلو بي بي اسپري 20ميل,کلداماريس فلو اسپري 20ميل
کلداماريس پرو بيبي اسپري 20 ميل,کلداماريس پرو بيبي اسپري 20 ميل
بيعانه,بيعانه
استامينوفن قطره,ACETAMINOPHEN 100 MG/ML DROP
دورزاميد (دورزولاميد 2% قطره ايراني,DORZAMID (DORZOLAMIDE HCL 2% OPH DR
اينفاکول قطره,INFACOL ORAL  DROP
کلوبوتينول خوراکي قطره,CLOBUTINOL HCL 60 MG/ML ORAL DROP
دکسترومتورفان قطره خوراکي,DEXTROMETORPHAN HBR 60MG/15ML ORAL DROP
تيموبايول تيمولول باخترقطره,TIMOBIOL (TIMOLOL MALEATE 0.5% 5ML
زاديتن قطره چشمي,ZADITEN (KETOTIFEN OPH DROP
دايمتيکون قطره خوراکي,DIMETHICONE ORAL DROP
فروس سولفات خوراکي قطره(فريرون,FERROUS SULFATE 125MG(25MG iron)/ML ORAL DROP
هالوپريدول قطره خوراکي,HALOPERIDOL DROP
فروس سولفات قطره ايراني,FERRODROP (FERROUS SULFATE ORAL DRO
ريفامپين خوراکي قطره,RIFAMPICIN 153 MG/ML DROP ORAL
هايپيران قطره,HYPIRAN DROP
پروستاتان قطره,PROSTATAN  30 ML DROP
شيرافزا قطره,SHIRAFZA  30ML DROP
کوزوپت قطره دورزولاميد تيمولول خارجي,COSOPT (DORZOLAMIDE+TIMOLOL 2%/0.5% OPH DROP
متوکلوپراميد قطره خوراکي,METOCLOPRAMIDE 4 MG/ML 15 ML ORAL DROP
مولتي کيم (مولتي ويتامين شربت,MULTIVITAMIN DROP
مولتي ويتامين آهن خوراکي قطره,MULTIVITAMIN+IRON DROP
کتوتيفن قطره خارجي چشمي,KETOTIFEN 0.25MG/ML 5ML DROP
نيستاتين قطره,NYSTATIN FOR SUSP IRANI
مولتي ويتامين (الحاوي قطره,MULTIVITAMIN DROP ALHAVI
بايوفناک قطره چشمي(ديکلوفناک),BIOFENAC (DICLOFENAC 0.1% OPH DROP
پدي لاکت  قطره (پروبيوتيک,VITAMIN A+D ORAL DROP IRANI
آنتي ميگرن قطره,ANTIMIGRAINE 30ML   -ORAL DROP
کلرپرومازين خوراکي قطره,CHLORPROMAZINE HCL DROP
افتاژل يک بارمصرف چشمي,Oftagel.gel.eye
گليسيرين خوراکي قطره,GLYCERIN ORAL DROP
کارمينت قطره,CARMINT  ORAL DROP
کوبايوسپت(دورزولاميد+تيمولول قطره,COBIOSOPT (DORZOLAMIDE+TIMOLOL 2%/0.5% OPH DROP
بيلي ناسترقطره,BILINASTER 10 ML ORAL DROP
تيرلوز اشک مصنوعي ايراني قطره چشمي,TEARLOSE (ARTIFICIAL TEARS 0.5% 10
اسنوتيرز خارجي قطره,SNO TEARS (ARTIFICIAL TEARS 0.5% 10
آتروپين 0/5 درصد قطره چشمي,ATROPINE SULFATE 0.5% 10ML OPH DROP
آتروپين 1درصد قطره چشمي,ATROPINE SULFATE 1%10ML OPH DROP
بتامتازون چشمي قطره,BETAMETHASONE DISODIUM PHOSPHATE 0.1% 5ML OPH  DROP
سيکاپروتکت قطره (اشک مصنوعي,CYCLOPENTOLATE  HCL 1% 10ML  OPT -S
بتاکسولول چشمي  قطره,BETAXOL (BETAXOLOL 0.5% 10ML OPH DR
آد قطره سيپلا,VITAMIN A+D ORAL DROP CIPLA
کلرامفينکل گران چشمي قطره,CHLORAMPHENICOL 0.5% OPH DROP
سيپروفلوکساسين قطره,CIPROFLOXACIN HCL 0.3% OPH DROP
کلنز قطره,ACETAMINOPHEN (PARACETAMOL)
تري فلوريدين 1%(TFT) قطره چشمي(ويروسيد,TRIFLURIDINE 1% 5ML OPH DROP
اف ام ال قطره,FML (FLUOROMETHOLONE 0.1% 5ML OPH DROP
دگزامتازون چشمي قطره,DEXAMETHASONE 0.1 DROP
آستک قطره,آستک قطره
بريمونيدين  قطره خارجي,BRIMONIDINE 1% 5ML OPH DROP
فلوتون قطره,ECHOTHIOPHATE IODIDE
اپي نفرين چشمي قطره,EPINEPHRINE  1% 7.5 ML   OPH DROP
فلوکورت ايراني فلورومتولون,FLUOROMETHOLONE 0.1% 5 ML OPH DROP
هماتروپين 2%هوميدرين قطره,HOMATROPINE HBr DROP
اشتراوس قطره (قلب خارجي گياهي,اشتراوس قطره (قلب خارجي گياهي
يدوکسوريدين چشمي قطره(هرپين,IDOXURIDINE 0.1% 10ML   OPH DROP
نفازولين 1%چشمي قطره,NAPHAZOLINE 0.1% 10ML OPH DROP
آکوئيس قطره 15ميل (ديسوپ,ACUAISS 15 ML DROP
نفازولين انتازولين چشمي قطره,NAPHAZOLINE ANTAZOLINE 10ML OPH DROP
نفازولين بيني قطره 0/05 %,NAPHAZOLINE 0.05% 10ML NASAL DROP
ميخچه  ساختني قطره,SALICYLIC ACID COMPOUND BULK
فنيل افرين چشمي قطره %5,PHENYLEPHRINE 5% 10 ML OPH DROP
فنيل افرين چشمي قطره %10,PHENYLEPHRINE 10% 10 ML OPH DROP
فنيل افرين زينک چشمي قطره,PHENYLEPHRINE ZINC 10 ML OPH DROP
آکوئيس يکبارمصرف عدد(ديسوپ,ACUAISS SINGLE DOSE DROP
فنيل افرين 0/25درصدبيني قطره,PHENYLEPHRINE HCL 0.25% 10 ML NASAL DROP
فنيل افرين 0/5درصدبيني قطره,PHENYLEPHRINE HCL 0.5% 10 ML NASAL DROP
پيلوکارپين چشمي قطره %1,PILOCARPINE 1% 10ML OPH DROP
پيلوکارپين چشمي قطره %2,PILOCARPINE 2% 10ML OPH DROP
پيلوکارپين چشمي قطره %4,PILOCARPINE 4% 10ML OPH DROP
کتوتيفن قطره,KETOTIFEN 0.25MG/ML 5ML DROP IRANI
پردنيزولون قطره,PREDNISOLONE ACETATE MICROFINE 1% OPH DROP
لاتانوپروست ( سينادارو)لاتاپروست,LATANOPROST 50 MCG/ML OPH DROP
آيورا قطره,ACETAMINOPHEN (PARACETAMOL)
زالاکوم قطره,XALACOM  50MG/5MG/2.5 OPH DROP
ويتان قطره,VITAN DROP
سولفاستاميدچشمي% 10 قطره,BACTIMIDE (SULFACETAMIDE  10% 10 ML
سولفاستاميد قطره %20,BACTIMIDE (SULFACETAMIDE 20% 10 ML
تتراکائين چشمي قطره 0/5,TETRACAINE HCL 0.5 % 5ML OPH DROP
تيمولول چشمي قطره,TIMOLOL MALEATE 0.5% 5ML OPH DROP
بريمونيدين قطره ايراني(بريموگان,BRIMOGAN (BRIMONIDINE 1% 5ML OPH DR
ميدراکس تروپيکاميد(مدرياتيکوم )1%,TROPICAMIDE 1% 10ML OPH DROP
کرومولين قطره چشمي,CROMOLYN SODIUM 2% 5 ML OPH DROP
آيرويت قطره,IROVIT DROP
سديم کلرايد قطره بيني,SODIUM CHLORIDE 0.65% 20 ML NASAL DROP
بلفارون قطره خرمان,BLEPHAROL DROP
استراگل قطره گل دارو,STRAGOL DROP
آرومين قطره,KETOROLAC
جنتامايسين قطره,GENTAMICIN 3MG/ML OPH DROP
سينارولاک قطره چشمي,SINAROLAC (KETOROLAC 0.5% 5ML OPH D
رزماري اسپري باريج اسانس,ROSEMARY TOPICAL spray
اوروويتال بيبي جويس قطره,EURHO VITAL BABY JUICE DROP
استک قطره,ASTAK DROP
برولن قطره,BRULENE DROP
اوروويتال فروکيدز(آهن قطره,EURHO VITAL FERROKIDS DROP
ميم قطره,MIM ORAL DROP
کراتاگوس قطره خوراکي,CRATAGUS  DROP
بابونه ميلي قطره 15,بابونه ميلي قطره 15
ول کيد قطره وايتابيوتيک 30م,ول کيد قطره وايتابيوتيک 30م
کوليکيدقطره,COLICAID DROP
فروسانول قطره,FERRO SANOL ORAL DROP
آد قطره باطعم شير,VITAMIN A+D ORAL WITH MILK  DROP
کاموميل بابونه,کاموميل بابونه
تريميپرامين قطره خوراکي ايراني,TRIMIPRAMINE ORAL DROP IRANI
تريميپرامين قطره خارجي,TRIMIPRAMINE ORAL DROP
ميدراکس تروپيکاميد(مدرياتيکوم )0/5%,TROPICAMIDE 0.5% 10ML OPH DROP
اي ويتامين قطره ايراني خوراکي,VITAMIN E 50IU/ML 20ML ORAL DROP
آد ويتامين قطره ايراني,VITAMIN A+D ORAL DROP
دنتول قطره (خرمان,DENTOL DROP KHORRAMAN
هاي قطره چشمي (اشک مصنوعي,HYE SODIUM HYALURONATE 0.4 % SOLU
آفروديت قطره گياهي,APHRODIT  ORAL DROP
سيکلوسپورين 0.05% قطره چشمي,CICLOSPORIN 0.05% OPH DROP
پيور قطره چشمي گياهي 10م,PURE (SIMPLY NATURAL OPH DROP
دائوفيلم قطره (زگيل وميخچه,DUOFILM TROPICAL DROP
زيلويال (اشک مصنوعي يک بارمصرف قطره,زيلويال (اشک مصنوعي يک بارمصرف قطره
اورتان قطره گياهي,URTAN  -ORAL DROP
ويتاگنوس قطره,VITAGNUS 30ML  ORAL DROP
لاکروسپورين (سيکلوسپورين 0.05% قطره چشمي,LACROSPORIN® (CICLOSPORIN 0.05% OPH DROP
منتول قطره,MENTHOL DROP
اسيد استيک خالص,ACETIC ACID BULK
ديکلوفناک قطره (ديکلوپتين,DICLOPTIN (DICLOFENAC 0.1% OPH DROP
دنتول قطره گياهي,DENTOL HERBAL DROP
سيکلوژيل,ACETAMINOPHEN (PARACETAMOL)
لوترا لوتپردنول قطره چشمي,LOTEPREDNOL ETABONATE
پلي ميکسين NH خارجي(اتسپورين قطره,OTOSPORIN (POLYMYXIN NH OTIC DROP
کوليکز قطره 30م خارجي,COLICEZ 30ML ORAL DROP
فروس سولفات(فربولين قطره,FERROUS SULFATE 125MG(25MG iron)/ML ORAL DROP
سديم کلرايد(استريل فيزيودوز يکبارمصرف,PHYSIODOSE (SODIUM CHLORIDE SOLU
ايمونوساپورت قطره,IMMUNE SUPPORT DROP
نيستاتين خارجي قطره,NYSTATIN FOR SUSP
اوتيسپت قطره گوشي,OTISEPT DROP
آدزير قطره ADZIR,A D IRON PLUS ZINC DROP
سنا لاکس قرص,SENALAX
ناتامايسين قطره چشمي,NATAMYCIN 5% 15ML   -OPH DROP
سنکل قطره,SANKOL  30 ML DROP
پرسيکا قطره,PERSICA ORAL DROP
پاسي پي قطره,PASY- PAY  30 ML DROP
سديم کلرايد5% قطره چشمي,SODIUM CHLORIDE 5% 10 ML OPH DROP
زالاتان قطره خارجي,XALATAN (LATANOPROST OPH DROP
آزوپت مورد قبول بيمه,AZOPT (BRINZOLAMIDE 1% OPH DROP
سيکلوپنتولات قطره,CYCLOPENTOLATE HCL 1% 10 ML OPT DROP
بايوسوپت (دورزولاميد ) ايراني,BIOSOPT (DORZOLAMIDE HCL 2% OPH DRO
سيناتي يرز پلي وينيل الکل قطره ايراني(,POLY VINYL ALCHOHOL 14MG/ML OPH DROP
زرد بند قطره  اسانس مورد(ويژه زونا),زرد بند قطره  اسانس مورد(ويژه زونا)
ايرگل قطره گوش,EARGOL 10ML DROP
زالابايوست قطره (لاتانوپروست ),XALABIOST (LATANOPROST OPH DROP
آرتلاک قطره يکبار مصرف,ARTELAC OPHTALMC DROP
بعيانه 10000,بعيانه 10000
کيدز پلاس قطره ADC ويتان,کيدز پلاس قطره ADC ويتان
قطره آدزير (آ+د+آهن+زينک) 20م ويتان,قطره آدزير (آ+د+آهن+زينک) 20م ويتان
قطره آدوکيد  (آ+د) الحاوي,قطره آدوکيد  (آ+د) الحاوي
ژل ماساژ ارگان 500 ميل,ژل ماساژ ارگان 500 ميل
نيوآ کرم بدن انجل استار با رايحه تم,نيوآ کرم بدن انجل استار با رايحه تم
پيلوکارپين 3%,PILOCARPINE 3% 10ML   OPH DROP
استامينوفن,TYLANOL (ACETAMINOPHEN 100 MG/ML DR
تروساپت خارجي(دوروزولاميد),TRUSOPT (DORZOLAMIDE OPH DROP
آلفاگان(بريمونيدين)2% قطره,ALPHAGAN (BRIMONIDINE TARTRATE 1% 5
پلي ميکسين ايراني (ميکساکورت قطره,MIXACORT (POLYMYXIN NH OTIC DROP
کولوماک قطره ميخچه,COLLOMAK (KERATOLYTIC SOLUTION
ايرال وکس قطره,IRALVEX  ORAL DROP
آرتلاک ادونسد قطره چشمي,ARTELAC ADVANCED OPH DROP
زردبندضد ميگرن (تاناستوم قطره,ZARDBAND FEVERFEW ORAL DROP
کنکاويت 15م قطره (مولتي ويتامين,CONCAVIT (MULTIVITAMIN DROP
ايندومتاسين قطره خارجي,INDOMETHACIN 1% OPH DROP
نئومايسين سولفات قطره,NEOMYCIN SULFATE DROP
بايوگايا(لاکتوباسيلوس روتري قطره,BIOGAIA DROP
کوپروست (لاتانوپروست +تيمولول قطره,COPROST (LATANOPROST+TIMOLOL
آکوئيس6م ديسوب قطره,ACUAISS 6 ML DROP
کلرامفنيکل چشمي  قطره ارزان,CHLORAMPHENICOL 0.5% OPH DROP CHEAP
کتوتيفن قطره خوراکي ايراني,KETOTIFEN ORAL DROP
پاتانول قطره چشمي,PATANOL (OLOPATADINE HYDROCHLORIDE DROP
دايمتيکس (دايمتيکون بازيره )قطره,DIMETHICONE  ORAL DROP WITH CUMIN
منتورا قطره (خوراکي واستنشاقي,MENTORA DROP
لوتمکس (لوتپردنول قطره چشمي,LOTEMAX®(LOTEPREDNOL ETABONATE
کوليک پد قطره,COLICPED ORAL DROP
اولانتين قطره ايراني چشمي,OLANTIN (OLOPATADINE OPH DROP
گاستريرا قطره خوراکي,گاستريرا قطره خوراکي
دايمتيکون قطره گران,دايمتيکون قطره گران
آيرونورم قطره,IRONORM DROP
لاميژکس قطره گوشي باريج اسانس,لاميژکس قطره گوشي باريج اسانس
آپوسپت 20م محلول شستشوي چشم,آپوسپت 20م محلول شستشوي چشم
د3 قطره خوراکي ويتابيوتک,د3 قطره خوراکي ويتابيوتک
پردفورت قطره چشمي (پردنيزولون,پردفورت قطره چشمي (پردنيزولون
پلي ويتامين قطره خارجي (پرومد,پلي ويتامين قطره خارجي (پرومد
هلث ايد بي بي ويتا قطره,هلث ايد بي بي ويتا قطره
قطره فروگلوبين,قطره فروگلوبين
قطره ويتاکيد پرتغالي(مولتي ويتامين الحاوي),قطره ويتاکيد پرتغالي(مولتي ويتامين الحاوي)
فروس سولفات قطره (توت فرنگي ماد),فروس سولفات قطره (توت فرنگي ماد)
کاروين قطره گياهي ضد نفخ(شرکت نوش دارو),کاروين قطره گياهي ضد نفخ(شرکت نوش دارو)
پاراکيد قطره (استامينوفن طعم دار) الحاوي,قطره پاراکيد(استامينوفن طعم دار) الحاوي
مولتي ويتامين قطره,
کيد 3 (ويتامين د 400 واحد )قطره 15م,کيد 3 (ويتامين د 400 واحد )قطره 15م
کيد 3 فورت(ويتامين د 12000 واحد )قطره 15م,کيد 3 فورت(ويتامين د 12000 واحد )قطره 15م
آد قطره ويتامين آ+د قطره,ويتامين آ+د قطره
ايوروشه شامپو موي معمولي,ايوروشه شامپو موي معمولي
آسيکلووير کرم موضعي,ACICLOVIR 5% CREAM
آنتي هموروئيد پماد,ANTIHEMORRHOID  OINT
بنزوکائين پماد5%,BENZOCAINE 5% OINT
بتامتازون کرم  موضعي,BETAMETHASONE VALERATE 0.1% CREAM
بتامتازون پمادموضعي,BETAMETHASONE VALERATE 0.1% OINT
سوختگي (بورن )پماد,BURN OINT
کترل کرم 30گرم,KETREL CREAM 30 GR
اليدل 30 گرم کرم,ELIDEL CREAM 30 GR
کالامين کرم,CALAMINE 8% 30 G CREAM
منوبنزون 20% کرم خارجي هندي,MONOBENZONE 20% OINT 20 GR
کالاندولا پماد (دينه 15 گرمي,CALENDULA  OINT DINEH
کلوبتازول کرم,CLOBETASOL PROPIONATE 0.05% 15G CREAM
کلوبتازول پماد-کرم,CLOBETASOL PROPPIONATE 0.05%  15G OINT
کلوتريمازول کرم موضعي,CLOTRIMAZOLE 1% TOP CREAM
کروتاميتون پماد,CROTAMITON 10% TOP CREAM
دکسپانتنول کرم,DEXPANTHENOL 5% CREAM
ديکلوفناک سديم ژل توليدداخل,DICLOFENAC SODIUM
کنترا توبکس50 گرم ژل,CONTRACTUBEX GEL 50 GR
اريترومايسين ژل موضعي 2 درصد,ERYTHROMYCIN 2% TOP GEL
پسوريامنت(کلسي پوتريول)ايراني,PSORIAMENT (CALCIPOTRIOL 30 GR OINT
فلوسينولون پماد-کرم,FLUOCINOLONE ACETONIDE 0.025% OINT
فلوسينولون کرم,FLUOCINOLONE ACETONIDE 0.025% CREAM
آفوديکس کرم,EFUDIX  5% CREAM
فيبرينولايزين50g(فايزر),FIBRINOLYSIN 20 GR OINT
لوبريکانت ژل (توليدارو),LUBRICATING GEL TOLID DARU
جنتامايسين پمادموضعي,GENTAMICIN 0.1% OINT
پروتوپيک 0.1% کرم (تاکروليموس,PROTOPIC OINTMENT  0.1% CREAM
هيدروکورتيزون  موضعي پماد,HYDROCORTISON OINTMENT
آکنه لايزکرم,ACNELASE (EUCERIN CREAM
ترتينوئين ژل موضعي25%,TRETINOIN 0.025%  GEL
رتين A کرم,RETIN A CREAM
يدوکلرهيدروکسي کين کرم,IODOHYDROXYQUIN CREAM
کتوکونازول کرم,KETOCONAZOLE 2% CREAM
ليدوکائين درصدجلدي پماد5,LIDOCAINE 5% OINT
ليدوکائين 2درصد زايلوژل جلدي ژل,LIDOCAINE HCL 2% GEL
دايوبت (دايوونکس بابتامتازون پماد,دايوبت (دايوونکس بابتامتازون پماد
منتول ساليسيلات پماد,MENTHOL SALICYLATE OINT
متيل ساليسيلات پماد,METHYL SALICYLATE 30% OINT
ميکونازول کرم موضعي,MICONAZOLE NITRATE 2% CREAM
مونوبنزون بنوکين (),مونوبنزون بنوکين ()
ميرتوپلکس پماد,ميرتوپلکس پماد
نيتروفورازون کرم,NITROFURAZONE CREAM
نيتروگلسيرين پماد خارجي,MYOVIN (NITROGLYCERIN  2%   OINT
فني توئين کرم,PHENYTOIN SODIUM 1% CREAM
پيروکسيکام موضعي ژل,PIROXICAM 0.5% GEL
افوديکس (فلوراسيل 5% پماد 20 گرمي,EFUDIX (FLUOROURACIL 5% 20 GR CREAM
